Start,End,GC_Contet
234,334,0.78
235,335,0.78
236,336,0.78
237,337,0.78
238,338,0.77
239,339,0.76
240,340,0.76
241,341,0.76
242,342,0.77
243,343,0.76
244,344,0.76
245,345,0.76
246,346,0.76
247,347,0.76
248,348,0.76
249,349,0.76
250,350,0.75
251,351,0.75
252,352,0.75
253,353,0.75
254,354,0.75
255,355,0.75
256,356,0.75
257,357,0.76
258,358,0.75
259,359,0.74
260,360,0.74
261,361,0.74
262,362,0.74
263,363,0.75
264,364,0.76
265,365,0.76
266,366,0.76
267,367,0.77
268,368,0.77
269,369,0.77
270,370,0.77
271,371,0.76
272,372,0.75
273,373,0.74
274,374,0.75
275,375,0.75
276,376,0.75
277,377,0.75
278,378,0.74
279,379,0.74
280,380,0.75
281,381,0.75
282,382,0.75
283,383,0.75
284,384,0.74
285,385,0.74
286,386,0.73
287,387,0.73
288,388,0.73
289,389,0.72
290,390,0.72
291,391,0.72
292,392,0.72
293,393,0.72
294,394,0.72
295,395,0.72
296,396,0.72
297,397,0.72
298,398,0.72
299,399,0.73
300,400,0.73
301,401,0.73
302,402,0.72
303,403,0.71
304,404,0.71
305,405,0.72
306,406,0.71
307,407,0.72
308,408,0.72
309,409,0.72
310,410,0.72
311,411,0.71
312,412,0.71
313,413,0.72
314,414,0.71
315,415,0.71
316,416,0.71
317,417,0.71
318,418,0.72
319,419,0.72
320,420,0.73
321,421,0.73
322,422,0.74
323,423,0.74
324,424,0.73
325,425,0.73
326,426,0.73
327,427,0.73
328,428,0.73
329,429,0.73
330,430,0.74
331,431,0.74
332,432,0.75
333,433,0.75
334,434,0.76
335,435,0.75
336,436,0.74
337,437,0.73
338,438,0.74
339,439,0.74
340,440,0.74
341,441,0.74
342,442,0.74
343,443,0.75
344,444,0.75
345,445,0.74
346,446,0.74
347,447,0.74
348,448,0.74
349,449,0.74
350,450,0.74
351,451,0.74
352,452,0.73
353,453,0.74
354,454,0.74
355,455,0.74
356,456,0.73
357,457,0.73
358,458,0.74
359,459,0.74
360,460,0.74
361,461,0.73
362,462,0.73
363,463,0.72
364,464,0.71
365,465,0.71
366,466,0.7
367,467,0.7
368,468,0.69
369,469,0.7
370,470,0.7
371,471,0.7
372,472,0.7
373,473,0.7
374,474,0.7
375,475,0.69
376,476,0.68
377,477,0.68
378,478,0.69
379,479,0.68
380,480,0.68
381,481,0.68
382,482,0.67
383,483,0.67
384,484,0.68
385,485,0.67
386,486,0.67
387,487,0.66
388,488,0.66
389,489,0.67
390,490,0.66
391,491,0.66
392,492,0.66
393,493,0.67
394,494,0.66
395,495,0.67
396,496,0.67
397,497,0.67
398,498,0.67
399,499,0.67
400,500,0.66
401,501,0.66
402,502,0.67
403,503,0.67
404,504,0.66
405,505,0.66
406,506,0.67
407,507,0.67
408,508,0.67
409,509,0.67
410,510,0.66
411,511,0.67
412,512,0.66
413,513,0.65
414,514,0.65
415,515,0.65
416,516,0.65
417,517,0.65
418,518,0.65
419,519,0.65
420,520,0.65
421,521,0.65
422,522,0.64
423,523,0.64
424,524,0.65
425,525,0.65
426,526,0.65
427,527,0.65
428,528,0.66
429,529,0.66
430,530,0.65
431,531,0.65
432,532,0.65
433,533,0.65
434,534,0.65
435,535,0.65
436,536,0.66
437,537,0.67
438,538,0.67
439,539,0.68
440,540,0.68
441,541,0.68
442,542,0.67
443,543,0.67
444,544,0.67
445,545,0.68
446,546,0.67
447,547,0.66
448,548,0.65
449,549,0.65
450,550,0.66
451,551,0.66
452,552,0.67
453,553,0.66
454,554,0.66
455,555,0.65
456,556,0.66
457,557,0.66
458,558,0.65
459,559,0.66
460,560,0.66
461,561,0.67
462,562,0.67
463,563,0.68
464,564,0.69
465,565,0.69
466,566,0.7
467,567,0.7
468,568,0.71
469,569,0.7
470,570,0.7
471,571,0.71
472,572,0.72
473,573,0.73
474,574,0.73
475,575,0.74
476,576,0.74
477,577,0.73
478,578,0.73
479,579,0.74
480,580,0.74
481,581,0.74
482,582,0.75
483,583,0.75
484,584,0.75
485,585,0.75
486,586,0.76
487,587,0.77
488,588,0.77
489,589,0.77
490,590,0.78
491,591,0.77
492,592,0.77
493,593,0.76
494,594,0.77
495,595,0.77
496,596,0.77
497,597,0.76
498,598,0.75
499,599,0.75
500,600,0.76
501,601,0.75
502,602,0.75
503,603,0.76
504,604,0.77
505,605,0.76
506,606,0.76
507,607,0.76
508,608,0.76
509,609,0.76
510,610,0.77
511,611,0.76
512,612,0.76
513,613,0.76
514,614,0.77
515,615,0.76
516,616,0.76
517,617,0.76
518,618,0.76
519,619,0.75
520,620,0.75
521,621,0.75
522,622,0.76
523,623,0.75
524,624,0.75
525,625,0.75
526,626,0.75
527,627,0.74
528,628,0.74
529,629,0.74
530,630,0.74
531,631,0.73
532,632,0.72
533,633,0.71
534,634,0.71
535,635,0.72
536,636,0.72
537,637,0.72
538,638,0.72
539,639,0.72
540,640,0.71
541,641,0.7
542,642,0.71
543,643,0.7
544,644,0.7
545,645,0.69
546,646,0.7
547,647,0.7
548,648,0.71
549,649,0.71
550,650,0.7
551,651,0.69
552,652,0.69
553,653,0.7
554,654,0.69
555,655,0.7
556,656,0.69
557,657,0.69
558,658,0.7
559,659,0.7
560,660,0.69
561,661,0.69
562,662,0.68
563,663,0.68
564,664,0.68
565,665,0.67
566,666,0.67
567,667,0.67
568,668,0.67
569,669,0.68
570,670,0.67
571,671,0.66
572,672,0.65
573,673,0.65
574,674,0.65
575,675,0.65
576,676,0.65
577,677,0.66
578,678,0.66
579,679,0.66
580,680,0.66
581,681,0.66
582,682,0.66
583,683,0.65
584,684,0.65
585,685,0.66
586,686,0.66
587,687,0.66
588,688,0.65
589,689,0.64
590,690,0.64
591,691,0.64
592,692,0.63
593,693,0.64
594,694,0.64
595,695,0.64
596,696,0.64
597,697,0.65
598,698,0.66
599,699,0.65
600,700,0.64
601,701,0.65
602,702,0.65
603,703,0.65
604,704,0.65
605,705,0.65
606,706,0.65
607,707,0.65
608,708,0.65
609,709,0.64
610,710,0.63
611,711,0.63
612,712,0.63
613,713,0.64
614,714,0.63
615,715,0.64
616,716,0.64
617,717,0.63
618,718,0.63
619,719,0.64
620,720,0.63
621,721,0.63
622,722,0.63
623,723,0.64
624,724,0.64
625,725,0.63
626,726,0.62
627,727,0.63
628,728,0.62
629,729,0.62
630,730,0.63
631,731,0.63
632,732,0.64
633,733,0.65
634,734,0.65
635,735,0.65
636,736,0.64
637,737,0.64
638,738,0.64
639,739,0.63
640,740,0.64
641,741,0.65
642,742,0.65
643,743,0.66
644,744,0.66
645,745,0.66
646,746,0.66
647,747,0.67
648,748,0.67
649,749,0.67
650,750,0.68
651,751,0.69
652,752,0.69
653,753,0.69
654,754,0.69
655,755,0.68
656,756,0.69
657,757,0.68
658,758,0.68
659,759,0.68
660,760,0.69
661,761,0.68
662,762,0.68
663,763,0.68
664,764,0.68
665,765,0.69
666,766,0.68
667,767,0.67
668,768,0.66
669,769,0.65
670,770,0.66
671,771,0.67
672,772,0.68
673,773,0.68
674,774,0.68
675,775,0.68
676,776,0.69
677,777,0.68
678,778,0.67
679,779,0.66
680,780,0.66
681,781,0.65
682,782,0.64
683,783,0.64
684,784,0.63
685,785,0.63
686,786,0.63
687,787,0.63
688,788,0.63
689,789,0.63
690,790,0.63
691,791,0.63
692,792,0.63
693,793,0.62
694,794,0.62
695,795,0.62
696,796,0.62
697,797,0.62
698,798,0.62
699,799,0.63
700,800,0.64
701,801,0.64
702,802,0.64
703,803,0.64
704,804,0.64
705,805,0.65
706,806,0.64
707,807,0.64
708,808,0.64
709,809,0.65
710,810,0.65
711,811,0.66
712,812,0.66
713,813,0.66
714,814,0.67
715,815,0.67
716,816,0.67
717,817,0.67
718,818,0.67
719,819,0.66
720,820,0.66
721,821,0.65
722,822,0.64
723,823,0.64
724,824,0.64
725,825,0.65
726,826,0.65
727,827,0.65
728,828,0.66
729,829,0.65
730,830,0.65
731,831,0.65
732,832,0.64
733,833,0.63
734,834,0.63
735,835,0.62
736,836,0.63
737,837,0.62
738,838,0.62
739,839,0.62
740,840,0.62
741,841,0.62
742,842,0.62
743,843,0.61
744,844,0.61
745,845,0.62
746,846,0.62
747,847,0.62
748,848,0.62
749,849,0.62
750,850,0.62
751,851,0.62
752,852,0.62
753,853,0.61
754,854,0.61
755,855,0.62
756,856,0.61
757,857,0.62
758,858,0.62
759,859,0.61
760,860,0.61
761,861,0.62
762,862,0.62
763,863,0.62
764,864,0.61
765,865,0.61
766,866,0.62
767,867,0.62
768,868,0.63
769,869,0.63
770,870,0.62
771,871,0.62
772,872,0.62
773,873,0.61
774,874,0.61
775,875,0.6
776,876,0.6
777,877,0.61
778,878,0.61
779,879,0.62
780,880,0.62
781,881,0.63
782,882,0.63
783,883,0.64
784,884,0.64
785,885,0.64
786,886,0.64
787,887,0.63
788,888,0.63
789,889,0.63
790,890,0.62
791,891,0.62
792,892,0.63
793,893,0.64
794,894,0.63
795,895,0.63
796,896,0.62
797,897,0.61
798,898,0.6
799,899,0.6
800,900,0.59
801,901,0.58
802,902,0.58
803,903,0.58
804,904,0.57
805,905,0.57
806,906,0.57
807,907,0.57
808,908,0.56
809,909,0.55
810,910,0.56
811,911,0.55
812,912,0.55
813,913,0.54
814,914,0.53
815,915,0.52
816,916,0.51
817,917,0.51
818,918,0.5
819,919,0.5
820,920,0.5
821,921,0.5
822,922,0.5
823,923,0.49
824,924,0.48
825,925,0.47
826,926,0.47
827,927,0.47
828,928,0.47
829,929,0.48
830,930,0.48
831,931,0.49
832,932,0.5
833,933,0.51
834,934,0.5
835,935,0.5
836,936,0.5
837,937,0.51
838,938,0.5
839,939,0.51
840,940,0.51
841,941,0.51
842,942,0.51
843,943,0.52
844,944,0.52
845,945,0.52
846,946,0.52
847,947,0.52
848,948,0.51
849,949,0.5
850,950,0.5
851,951,0.49
852,952,0.48
853,953,0.49
854,954,0.49
855,955,0.49
856,956,0.5
857,957,0.5
858,958,0.49
859,959,0.5
860,960,0.5
861,961,0.49
862,962,0.5
863,963,0.5
864,964,0.5
865,965,0.5
866,966,0.5
867,967,0.51
868,968,0.51
869,969,0.51
870,970,0.52
871,971,0.52
872,972,0.52
873,973,0.52
874,974,0.52
875,975,0.53
876,976,0.52
877,977,0.52
878,978,0.52
879,979,0.52
880,980,0.52
881,981,0.51
882,982,0.52
883,983,0.51
884,984,0.51
885,985,0.5
886,986,0.5
887,987,0.51
888,988,0.52
889,989,0.53
890,990,0.53
891,991,0.54
892,992,0.53
893,993,0.52
894,994,0.53
895,995,0.53
896,996,0.54
897,997,0.55
898,998,0.56
899,999,0.56
900,1000,0.56
901,1001,0.57
902,1002,0.57
903,1003,0.57
904,1004,0.58
905,1005,0.58
906,1006,0.58
907,1007,0.58
908,1008,0.59
909,1009,0.59
910,1010,0.58
911,1011,0.59
912,1012,0.59
913,1013,0.6
914,1014,0.61
915,1015,0.61
916,1016,0.62
917,1017,0.62
918,1018,0.63
919,1019,0.64
920,1020,0.65
921,1021,0.66
922,1022,0.66
923,1023,0.67
924,1024,0.67
925,1025,0.67
926,1026,0.68
927,1027,0.68
928,1028,0.68
929,1029,0.68
930,1030,0.68
931,1031,0.68
932,1032,0.67
933,1033,0.67
934,1034,0.67
935,1035,0.67
936,1036,0.67
937,1037,0.66
938,1038,0.67
939,1039,0.66
940,1040,0.66
941,1041,0.66
942,1042,0.65
943,1043,0.65
944,1044,0.65
945,1045,0.64
946,1046,0.63
947,1047,0.63
948,1048,0.64
949,1049,0.65
950,1050,0.65
951,1051,0.65
952,1052,0.65
953,1053,0.65
954,1054,0.65
955,1055,0.65
956,1056,0.64
957,1057,0.64
958,1058,0.64
959,1059,0.64
960,1060,0.63
961,1061,0.64
962,1062,0.63
963,1063,0.63
964,1064,0.63
965,1065,0.63
966,1066,0.63
967,1067,0.63
968,1068,0.62
969,1069,0.63
970,1070,0.62
971,1071,0.61
972,1072,0.6
973,1073,0.6
974,1074,0.59
975,1075,0.58
976,1076,0.58
977,1077,0.57
978,1078,0.57
979,1079,0.57
980,1080,0.56
981,1081,0.56
982,1082,0.55
983,1083,0.56
984,1084,0.56
985,1085,0.56
986,1086,0.55
987,1087,0.55
988,1088,0.54
989,1089,0.53
990,1090,0.53
991,1091,0.53
992,1092,0.53
993,1093,0.53
994,1094,0.52
995,1095,0.52
996,1096,0.51
997,1097,0.5
998,1098,0.49
999,1099,0.49
1000,1100,0.49
1001,1101,0.48
1002,1102,0.48
1003,1103,0.47
1004,1104,0.46
1005,1105,0.46
1006,1106,0.46
1007,1107,0.45
1008,1108,0.44
1009,1109,0.45
1010,1110,0.46
1011,1111,0.46
1012,1112,0.46
1013,1113,0.45
1014,1114,0.45
1015,1115,0.46
1016,1116,0.45
1017,1117,0.46
1018,1118,0.45
1019,1119,0.44
1020,1120,0.44
1021,1121,0.43
1022,1122,0.43
1023,1123,0.43
1024,1124,0.44
1025,1125,0.45
1026,1126,0.44
1027,1127,0.43
1028,1128,0.42
1029,1129,0.42
1030,1130,0.41
1031,1131,0.41
1032,1132,0.41
1033,1133,0.4
1034,1134,0.4
1035,1135,0.41
1036,1136,0.41
1037,1137,0.41
1038,1138,0.41
1039,1139,0.41
1040,1140,0.41
1041,1141,0.41
1042,1142,0.42
1043,1143,0.42
1044,1144,0.41
1045,1145,0.42
1046,1146,0.42
1047,1147,0.42
1048,1148,0.41
1049,1149,0.41
1050,1150,0.41
1051,1151,0.41
1052,1152,0.42
1053,1153,0.42
1054,1154,0.42
1055,1155,0.41
1056,1156,0.42
1057,1157,0.41
1058,1158,0.42
1059,1159,0.41
1060,1160,0.41
1061,1161,0.41
1062,1162,0.42
1063,1163,0.42
1064,1164,0.42
1065,1165,0.42
1066,1166,0.42
1067,1167,0.41
1068,1168,0.41
1069,1169,0.4
1070,1170,0.4
1071,1171,0.4
1072,1172,0.41
1073,1173,0.41
1074,1174,0.42
1075,1175,0.42
1076,1176,0.42
1077,1177,0.42
1078,1178,0.42
1079,1179,0.41
1080,1180,0.41
1081,1181,0.42
1082,1182,0.42
1083,1183,0.42
1084,1184,0.43
1085,1185,0.44
1086,1186,0.44
1087,1187,0.43
1088,1188,0.43
1089,1189,0.44
1090,1190,0.45
1091,1191,0.44
1092,1192,0.44
1093,1193,0.45
1094,1194,0.45
1095,1195,0.44
1096,1196,0.44
1097,1197,0.45
1098,1198,0.45
1099,1199,0.44
1100,1200,0.44
1101,1201,0.44
1102,1202,0.44
1103,1203,0.45
1104,1204,0.46
1105,1205,0.45
1106,1206,0.45
1107,1207,0.45
1108,1208,0.46
1109,1209,0.45
1110,1210,0.44
1111,1211,0.44
1112,1212,0.44
1113,1213,0.44
1114,1214,0.43
1115,1215,0.42
1116,1216,0.42
1117,1217,0.41
1118,1218,0.41
1119,1219,0.41
1120,1220,0.4
1121,1221,0.41
1122,1222,0.42
1123,1223,0.41
1124,1224,0.41
1125,1225,0.4
1126,1226,0.4
1127,1227,0.4
1128,1228,0.4
1129,1229,0.39
1130,1230,0.39
1131,1231,0.38
1132,1232,0.38
1133,1233,0.38
1134,1234,0.39
1135,1235,0.38
1136,1236,0.37
1137,1237,0.37
1138,1238,0.37
1139,1239,0.37
1140,1240,0.36
1141,1241,0.36
1142,1242,0.36
1143,1243,0.35
1144,1244,0.35
1145,1245,0.35
1146,1246,0.35
1147,1247,0.35
1148,1248,0.35
1149,1249,0.34
1150,1250,0.33
1151,1251,0.34
1152,1252,0.33
1153,1253,0.32
1154,1254,0.32
1155,1255,0.32
1156,1256,0.32
1157,1257,0.33
1158,1258,0.32
1159,1259,0.32
1160,1260,0.32
1161,1261,0.32
1162,1262,0.32
1163,1263,0.31
1164,1264,0.31
1165,1265,0.3
1166,1266,0.29
1167,1267,0.3
1168,1268,0.31
1169,1269,0.32
1170,1270,0.33
1171,1271,0.34
1172,1272,0.33
1173,1273,0.34
1174,1274,0.33
1175,1275,0.33
1176,1276,0.34
1177,1277,0.35
1178,1278,0.36
1179,1279,0.37
1180,1280,0.38
1181,1281,0.37
1182,1282,0.38
1183,1283,0.37
1184,1284,0.37
1185,1285,0.36
1186,1286,0.36
1187,1287,0.36
1188,1288,0.37
1189,1289,0.37
1190,1290,0.36
1191,1291,0.36
1192,1292,0.37
1193,1293,0.36
1194,1294,0.37
1195,1295,0.37
1196,1296,0.37
1197,1297,0.36
1198,1298,0.36
1199,1299,0.37
1200,1300,0.37
1201,1301,0.38
1202,1302,0.37
1203,1303,0.36
1204,1304,0.35
1205,1305,0.35
1206,1306,0.35
1207,1307,0.35
1208,1308,0.34
1209,1309,0.35
1210,1310,0.35
1211,1311,0.34
1212,1312,0.35
1213,1313,0.36
1214,1314,0.36
1215,1315,0.37
1216,1316,0.38
1217,1317,0.39
1218,1318,0.39
1219,1319,0.39
1220,1320,0.4
1221,1321,0.4
1222,1322,0.39
1223,1323,0.39
1224,1324,0.38
1225,1325,0.38
1226,1326,0.38
1227,1327,0.38
1228,1328,0.38
1229,1329,0.39
1230,1330,0.4
1231,1331,0.41
1232,1332,0.42
1233,1333,0.43
1234,1334,0.42
1235,1335,0.42
1236,1336,0.42
1237,1337,0.42
1238,1338,0.42
1239,1339,0.43
1240,1340,0.43
1241,1341,0.43
1242,1342,0.42
1243,1343,0.42
1244,1344,0.42
1245,1345,0.41
1246,1346,0.41
1247,1347,0.4
1248,1348,0.41
1249,1349,0.41
1250,1350,0.42
1251,1351,0.42
1252,1352,0.42
1253,1353,0.42
1254,1354,0.42
1255,1355,0.42
1256,1356,0.41
1257,1357,0.41
1258,1358,0.41
1259,1359,0.42
1260,1360,0.42
1261,1361,0.41
1262,1362,0.4
1263,1363,0.41
1264,1364,0.42
1265,1365,0.42
1266,1366,0.43
1267,1367,0.43
1268,1368,0.42
1269,1369,0.41
1270,1370,0.4
1271,1371,0.39
1272,1372,0.4
1273,1373,0.4
1274,1374,0.4
1275,1375,0.41
1276,1376,0.4
1277,1377,0.4
1278,1378,0.4
1279,1379,0.39
1280,1380,0.39
1281,1381,0.4
1282,1382,0.4
1283,1383,0.41
1284,1384,0.41
1285,1385,0.42
1286,1386,0.43
1287,1387,0.44
1288,1388,0.43
1289,1389,0.42
1290,1390,0.43
1291,1391,0.43
1292,1392,0.43
1293,1393,0.43
1294,1394,0.43
1295,1395,0.44
1296,1396,0.44
1297,1397,0.44
1298,1398,0.45
1299,1399,0.44
1300,1400,0.44
1301,1401,0.43
1302,1402,0.43
1303,1403,0.44
1304,1404,0.44
1305,1405,0.44
1306,1406,0.45
1307,1407,0.46
1308,1408,0.46
1309,1409,0.45
1310,1410,0.45
1311,1411,0.45
1312,1412,0.44
1313,1413,0.43
1314,1414,0.44
1315,1415,0.43
1316,1416,0.42
1317,1417,0.41
1318,1418,0.42
1319,1419,0.42
1320,1420,0.42
1321,1421,0.41
1322,1422,0.41
1323,1423,0.42
1324,1424,0.42
1325,1425,0.42
1326,1426,0.42
1327,1427,0.42
1328,1428,0.42
1329,1429,0.41
1330,1430,0.41
1331,1431,0.4
1332,1432,0.39
1333,1433,0.38
1334,1434,0.39
1335,1435,0.4
1336,1436,0.4
1337,1437,0.41
1338,1438,0.4
1339,1439,0.4
1340,1440,0.4
1341,1441,0.4
1342,1442,0.41
1343,1443,0.41
1344,1444,0.41
1345,1445,0.41
1346,1446,0.41
1347,1447,0.41
1348,1448,0.41
1349,1449,0.41
1350,1450,0.4
1351,1451,0.4
1352,1452,0.4
1353,1453,0.4
1354,1454,0.41
1355,1455,0.42
1356,1456,0.42
1357,1457,0.42
1358,1458,0.43
1359,1459,0.43
1360,1460,0.44
1361,1461,0.44
1362,1462,0.45
1363,1463,0.45
1364,1464,0.44
1365,1465,0.44
1366,1466,0.44
1367,1467,0.43
1368,1468,0.43
1369,1469,0.44
1370,1470,0.44
1371,1471,0.44
1372,1472,0.43
1373,1473,0.42
1374,1474,0.42
1375,1475,0.41
1376,1476,0.42
1377,1477,0.42
1378,1478,0.41
1379,1479,0.41
1380,1480,0.4
1381,1481,0.39
1382,1482,0.39
1383,1483,0.39
1384,1484,0.38
1385,1485,0.38
1386,1486,0.37
1387,1487,0.37
1388,1488,0.37
1389,1489,0.37
1390,1490,0.37
1391,1491,0.38
1392,1492,0.37
1393,1493,0.38
1394,1494,0.37
1395,1495,0.36
1396,1496,0.36
1397,1497,0.36
1398,1498,0.35
1399,1499,0.36
1400,1500,0.36
1401,1501,0.36
1402,1502,0.36
1403,1503,0.36
1404,1504,0.37
1405,1505,0.38
1406,1506,0.37
1407,1507,0.36
1408,1508,0.36
1409,1509,0.36
1410,1510,0.36
1411,1511,0.37
1412,1512,0.38
1413,1513,0.38
1414,1514,0.38
1415,1515,0.39
1416,1516,0.39
1417,1517,0.4
1418,1518,0.39
1419,1519,0.39
1420,1520,0.38
1421,1521,0.38
1422,1522,0.39
1423,1523,0.39
1424,1524,0.4
1425,1525,0.4
1426,1526,0.4
1427,1527,0.4
1428,1528,0.4
1429,1529,0.41
1430,1530,0.41
1431,1531,0.41
1432,1532,0.42
1433,1533,0.42
1434,1534,0.41
1435,1535,0.41
1436,1536,0.41
1437,1537,0.4
1438,1538,0.4
1439,1539,0.39
1440,1540,0.39
1441,1541,0.38
1442,1542,0.37
1443,1543,0.37
1444,1544,0.37
1445,1545,0.37
1446,1546,0.38
1447,1547,0.39
1448,1548,0.39
1449,1549,0.39
1450,1550,0.39
1451,1551,0.38
1452,1552,0.39
1453,1553,0.4
1454,1554,0.4
1455,1555,0.39
1456,1556,0.39
1457,1557,0.39
1458,1558,0.38
1459,1559,0.38
1460,1560,0.38
1461,1561,0.38
1462,1562,0.37
1463,1563,0.37
1464,1564,0.37
1465,1565,0.37
1466,1566,0.37
1467,1567,0.38
1468,1568,0.39
1469,1569,0.38
1470,1570,0.39
1471,1571,0.39
1472,1572,0.39
1473,1573,0.4
1474,1574,0.4
1475,1575,0.4
1476,1576,0.39
1477,1577,0.38
1478,1578,0.39
1479,1579,0.4
1480,1580,0.4
1481,1581,0.4
1482,1582,0.39
1483,1583,0.38
1484,1584,0.39
1485,1585,0.39
1486,1586,0.4
1487,1587,0.4
1488,1588,0.4
1489,1589,0.41
1490,1590,0.4
1491,1591,0.4
1492,1592,0.41
1493,1593,0.41
1494,1594,0.41
1495,1595,0.42
1496,1596,0.42
1497,1597,0.43
1498,1598,0.44
1499,1599,0.44
1500,1600,0.45
1501,1601,0.45
1502,1602,0.46
1503,1603,0.45
1504,1604,0.44
1505,1605,0.44
1506,1606,0.45
1507,1607,0.45
1508,1608,0.45
1509,1609,0.45
1510,1610,0.46
1511,1611,0.46
1512,1612,0.45
1513,1613,0.45
1514,1614,0.45
1515,1615,0.44
1516,1616,0.45
1517,1617,0.44
1518,1618,0.45
1519,1619,0.45
1520,1620,0.46
1521,1621,0.46
1522,1622,0.45
1523,1623,0.44
1524,1624,0.44
1525,1625,0.44
1526,1626,0.45
1527,1627,0.46
1528,1628,0.46
1529,1629,0.46
1530,1630,0.45
1531,1631,0.45
1532,1632,0.45
1533,1633,0.46
1534,1634,0.47
1535,1635,0.47
1536,1636,0.48
1537,1637,0.48
1538,1638,0.49
1539,1639,0.49
1540,1640,0.49
1541,1641,0.5
1542,1642,0.5
1543,1643,0.5
1544,1644,0.5
1545,1645,0.5
1546,1646,0.49
1547,1647,0.48
1548,1648,0.48
1549,1649,0.48
1550,1650,0.49
1551,1651,0.49
1552,1652,0.48
1553,1653,0.48
1554,1654,0.47
1555,1655,0.47
1556,1656,0.47
1557,1657,0.47
1558,1658,0.48
1559,1659,0.47
1560,1660,0.47
1561,1661,0.47
1562,1662,0.48
1563,1663,0.47
1564,1664,0.47
1565,1665,0.47
1566,1666,0.46
1567,1667,0.46
1568,1668,0.46
1569,1669,0.46
1570,1670,0.46
1571,1671,0.46
1572,1672,0.47
1573,1673,0.46
1574,1674,0.47
1575,1675,0.47
1576,1676,0.47
1577,1677,0.47
1578,1678,0.46
1579,1679,0.45
1580,1680,0.45
1581,1681,0.46
1582,1682,0.47
1583,1683,0.47
1584,1684,0.46
1585,1685,0.46
1586,1686,0.45
